Hard_pred,Soft_pred,Hard_Variance,Soft_Variance
-2.0268,-2.0284,7.3395,7.4614
-1.7151,-1.7168,5.3074,5.4352
-1.3971,-1.399,2.4733,2.6177
-1.6083,-1.6103,2.043,2.1979
-2.0209,-2.023,2.1544,2.3195
-2.6898,-2.6931,2.3055,2.5511
-2.3123,-2.3158,2.007,2.2746
-2.1315,-2.1352,1.8992,2.1784
-1.8122,-1.8167,1.7256,2.0659
-2.0552,-2.0601,1.7156,2.0809
-2.6849,-2.6903,1.6821,2.0855
-2.6849,-2.6903,1.6821,2.0855
-3.3969,-3.4031,1.777,2.2393
-3.4385,-3.4452,2.1455,2.6446
-3.353,-3.36,2.4939,3.0152
-2.9784,-2.9863,3.6048,4.1969
-2.4001,-2.4106,5.1876,5.9774
-1.7556,-1.7714,6.7828,7.9714
-2.6607,-2.7768,2.7632,11.48
-4.3714,-4.5611,8.8108,22.822
-5.4328,-5.6781,16.158,34.074
-10.683,-12.372,90.437,204.35
-10.683,-12.372,90.437,204.35
-10.683,-12.372,90.437,204.35
-10.683,-12.372,90.437,204.35
-10.683,-12.372,90.437,204.35
-10.683,-12.372,90.437,204.35
-12.146,-14.87,122.39,299.86
-16.553,-26.739,249.7,795.79
-16.553,-26.739,249.7,795.79
-16.553,-26.739,249.7,795.79
-16.553,-26.739,249.7,795.79
-17.963,-32.648,300.77,1002
-17.963,-32.648,300.77,1002
-19.316,-39.286,354.77,1176.8
-19.316,-39.286,354.77,1176.8
-60.642,-46.026,979.44,1288.1
-60.642,-46.026,979.44,1288.1
-60.642,-52.156,979.44,1333.4
-60.642,-52.156,979.44,1333.4
-60.642,-52.156,979.44,1333.4
-60.642,-57.238,979.44,1337.2
-60.642,-57.238,979.44,1337.2
-60.642,-61.231,979.44,1328.1
-60.642,-64.36,979.44,1323
-60.642,-64.36,979.44,1323
-60.642,-64.36,979.44,1323
-60.642,-73.461,979.44,1366.5
-60.642,-73.461,979.44,1366.5
-60.642,-73.461,979.44,1366.5
-60.642,-73.461,979.44,1366.5
-60.642,-75.647,979.44,1377
-60.642,-75.647,979.44,1377
-100.86,-85.11,924.52,1332.1
-100.86,-85.11,924.52,1332.1
-104.31,-92.375,738.28,1183.1
-105.38,-94.675,678.42,1115
-105.38,-94.675,678.42,1115
-106.41,-96.875,620.04,1040.5
-109.21,-102.73,455.9,798.78
-110.04,-104.4,405.57,718.01
-112.81,-109.71,231.44,427.92
-113.35,-110.7,195.59,367.35
-114.24,-111.75,134.22,300.63
-114.59,-111.4,108.93,322.13
-115.27,-103.03,38.229,767.83
-115.14,-100.35,40.292,882.25
-114.34,-90.491,69.893,1185.9
-60.642,-86.879,979.43,1250.8
-60.642,-86.879,979.43,1250.8
-60.642,-79.767,979.43,1311.4
-60.642,-72.788,979.43,1327.4
-60.642,-72.788,979.43,1327.4
-60.642,-62.37,979.43,1475.1
-60.642,-62.37,979.43,1475.1
-60.642,-53.984,979.43,1603.8
-29.5,-48.482,1446.5,1630.1
-29.5,-45.989,1446.5,1630.1
-29.5,-45.989,1446.5,1630.1
-29.5,-43.63,1446.5,1623.3
-29.5,-37.751,1446.5,1577.4
-29.5,-36.229,1446.5,1560.4
-29.5,-36.229,1446.5,1560.4
-29.5,-36.229,1446.5,1560.4
-29.5,-33.506,1446.5,1547.1
-29.5,-19.747,1446.5,1966.4
-29.5,-4.2086,1446.5,2141.9
-29.5,-4.2086,1446.5,2141.9
30.982,6.0737,818.31,2001.7
29.805,7.5028,932.14,1966
28.554,8.3327,1050.8,1959.9
27.234,7.2272,1173.2,2007.9
26.894,6.9386,1204.3,2020.2
25.495,5.7496,1330.1,2069.6
25.495,5.7496,1330.1,2069.6
24.041,4.5197,1457.6,2118.6
22.919,3.5791,1553.7,2154.5
22.156,2.946,1617.8,2177.8
20.993,1.9898,1713.7,2211.9
20.206,1.3492,1777.4,2233.8
19.411,0.70655,1840.8,2255.1
19.411,0.70655,1840.8,2255.1
19.01,0.38437,1872.3,2265.4
18.608,0.061374,1903.7,2275.5
18.608,0.061374,1903.7,2275.5
17.392,-0.91799,1997,2302.6
17.392,-0.91799,1997,2302.6
-1.9833,-2.8684,1016.8,1697.1
-1.9833,-2.8684,1016.8,1697.1
1.3369,1.1949,782.7,817.16
1.8338,1.7498,742.91,761.83
3.1993,3.1834,624.46,627.51
3.9912,3.984,547.47,548.82
5.6798,5.6791,337.03,337.16
5.6798,5.6791,337.03,337.16
6.1347,6.1346,223.44,223.46
6.1357,6.1357,177.15,177.16
6.1357,6.1357,177.15,177.16
6.0766,6.0766,156.92,156.92
5.1597,5.1597,86.899,86.9
4.4952,4.4952,73.857,73.857
3.1755,3.1755,70.058,70.058
-2.1865,-2.1865,139.96,139.96
-7.7881,-7.7839,242.09,241.99
-7.7881,-7.7839,242.09,241.99
-13.27,-12.889,334.91,330.76
-2.3713,-3.3374,128.86,163.89
-1.3712,-1.4399,118.89,121.89
-0.55004,-0.59853,111.11,113.49
0.60969,0.58033,100.98,102.65
0.60969,0.58033,100.98,102.65
0.85448,0.82782,99.016,100.57
2.1074,2.0857,90.313,91.734
